stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
106213;Herd Rd at Pioneer Rd (WB);WB_Herd Rd_AT_Pioneer Rd;48.820226;-123.659664;COW;Cowichan Valley Regional Transit System;North Cowichan
106184;Beverly at 2500 Block  (WB);WB_Beverly_AT_2500 Blk;48.784961;-123.696698;COW;Cowichan Valley Regional Transit System;North Cowichan
106166;York Rd at Lewis St (SB);SB_York Rd_AT_Lewis St;48.783203;-123.698918;COW;Cowichan Valley Regional Transit System;North Cowichan
108009;Farnsworth Rd at Stuart (NB);NB_Farnsworth Rd_AT_Stuast;48.692994;-123.577247;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
106239;Braithwaite Dr at 1170 Block (WB);WB_Braithwaite Dr_AT_1170 Block;48.694785;-123.580716;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
108016;Cowichan Bay Rd at 1505 Blk (NB);NB_Cowichan Bay Rd_AT_1505 Blk;48.727431;-123.604886;COW;Cowichan Valley Regional Transit System;Cowichan Valley D
106236;Cedardale at Fisher (NB);NB_Cedardale_AT_Fisher;48.696907;-123.590213;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
108061;Somenos at Mtn View Cemetary (NB);NB_Somenos_AT Mtn View Cemetary;48.805092;-123.736676;COW;Cowichan Valley Regional Transit System;North Cowichan
106159;Somenos at Cowichan Valley Hwy (NB);NB_Somenos_AT_Cowichan Valley Hwy;48.812874;-123.736659;COW;Cowichan Valley Regional Transit System;North Cowichan
108043;Telegraph at Meredith (SB);SB_Telegraph_NS_Meredith;48.668622;-123.553345;COW;Cowichan Valley Regional Transit System;Cowichan Valley A
106160;Somenos Across 6699 Blk (SB);SB_Somenos Rd_Across 6699 Blk;48.813198;-123.73668;COW;Cowichan Valley Regional Transit System;North Cowichan
106235;Cowichan Lake Rd at Culverton (WB);WB_Cowichan Lake Rd_FS_Culverton;48.777474;-123.83854;COW;Cowichan Valley Regional Transit System;Cowichan Valley F
106266;Cowichan Lake AT Caen Rd (EB);EB_Cowichan Lake_AT_Caen Rd;48.787632;-123.722623;COW;Cowichan Valley Regional Transit System;North Cowichan
108167;Maple Bay at Kingsview (NB);NB_Maple Bay_FS_Kingsview;48.799337;-123.645178;COW;Cowichan Valley Regional Transit System;North Cowichan
108168;South Shore AT Park Ave (WB);WB_South Shore Rd_FS Park Ave;48.815681;-124.171082;COW;Cowichan Valley Regional Transit System;Cowichan Valley F
108172;N Shore AT Wilson (WB);WB_N Shore_NS_Wilson;48.82821;-124.054085;COW;Cowichan Valley Regional Transit System;Lake Cowichan
108224;Cowichan Lake at Stanley (EB);EB_Cowichan Lake_FS_Stanley;48.82778;-124.049659;COW;Cowichan Valley Regional Transit System;Lake Cowichan
108229;Canada AT Beverly (SB);SB_Canada_NS_Beverly;48.785057;-123.709082;COW;Cowichan Valley Regional Transit System;Duncan
108234;Chaster at 5270 Block (NB);NB_Chaster_AT_5270 Block;48.763966;-123.693045;COW;Cowichan Valley Regional Transit System;Cowichan Valley D
108254;Glenora at Miller (EB);EB_Glenora_NS_Miller;48.762358;-123.704068;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
108258;Howard Ave at Alexander (SB);SB_Howard Ave_FS_Alexander;48.780825;-123.694032;COW;Cowichan Valley Regional Transit System;North Cowichan
108259;Howard Ave at Alexander (NB);NB_Howard Ave_NS_Alexander St;48.780732;-123.693878;COW;Cowichan Valley Regional Transit System;North Cowichan
108261;Coronation Ave at Bundock (WB);WB_Coronation Ave_FS_Bundock;48.778776;-123.697393;COW;Cowichan Valley Regional Transit System;Duncan
108318;Mission at Sahilton (NB);NB_Mission_FS_Sahilton;48.762691;-123.684691;COW;Cowichan Valley Regional Transit System;Cowichan Valley D
108319;Mission at Smith (NB);NB_Mission_AT_Smith;48.768169;-123.684808;COW;Cowichan Valley Regional Transit System;Cowichan
106247;Allan Rd at 3500 Block (NB);NB_Allan Rd_AT_3500_Block;48.688939;-123.568005;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
106201;Arbutus Ridge at Arbutus Drive (NB);NB_Arbutus Ridge_AT_Arbutus Drive;48.690002;-123.541341;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
106245;Cowerd Rd at Garry Oak Rd (WB);WB_Cowerd Rd_AT_Garry Oak Rd;48.690113;-123.569975;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
106243;Christina Dr at Brookside Cres (WB);WB_Christina Dr_AT_Brookside Cres;48.690821;-123.573662;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
108320;Boys Rd at 2730 Block (WB);WB_Boys Rd_AT_2730 Block;48.769689;-123.686604;COW;Cowichan Valley Regional Transit System;North Cowichan
108321;Boys Rd at Statlou (WB);WB_Boys Rd_AT_Statlou;48.769668;-123.691712;COW;Cowichan Valley Regional Transit System;North Cowichan
108322;Boys Rd at 2880 Block (WB);WB_Boys Rd_AT_2880 Block;48.769654;-123.695481;COW;Cowichan Valley Regional Transit System;North Cowichan
108323;Chaster Rd at 4230 Block (EB);EB_Chaster Rd_AT_4230 Block;48.764665;-123.694523;COW;Cowichan Valley Regional Transit System;Cowichan Valley D
108324;Chaster at Koksilah Frontage Rd (EB);EB_Chaster_FS_Koksilah Frontage Rd;48.762496;-123.690056;COW;Cowichan Valley Regional Transit System;Cowichan Valley D
108037;Queens Rd farside Duncan (EB);EB_Queens Rd_FS_Duncan;48.779364;-123.706328;COW;Cowichan Valley Regional Transit System;Duncan
108039;Alderlea at James St (NB);NB_Alderlea_AT_James St;48.781775;-123.704319;COW;Cowichan Valley Regional Transit System;North Cowichan
108256;2540 Blk Beverly St (EB);EB_2540 Blk_Beverly St;48.784853;-123.696582;COW;Cowichan Valley Regional Transit System;North Cowichan
108257;Howard Ave at Dingwall (SB);SB_Howard Ave_NS_Dingwall;48.783321;-123.694052;COW;Cowichan Valley Regional Transit System;North Cowichan
908000;Cowichan Valley Transit Centre;Cowichan Valley Transit Centre;48.762973;-123.698578;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
106140;Maple Bay Rd at Pemberlea (SB);SB_Maple Bay Rd_AT_Pemberlea;48.810674;-123.625078;COW;Cowichan Valley Regional Transit System;North Cowichan
108166;Maple bay Rd at McKenzie (EB);EB_Maple Bay Rd_AT_Mckenzie;48.80642;-123.630954;COW;Cowichan Valley Regional Transit System;North Cowichan
106126;Maple Bay Rd at Everest Way (SB);SB_Maple Bay Rd_AT_Everest Way;48.793182;-123.656698;COW;Cowichan Valley Regional Transit System;North Cowichan
106134;Maple Bay Rd at Garth Way (SB);SB_Maple Bay RD_FS_Garth Way;48.788827;-123.659579;COW;Cowichan Valley Regional Transit System;North Cowichan
108089;Valleyview Mall at Cowichan Bay Rd;SB_Valleyview Mall_AT Cowichan Bay Rd;48.709801;-123.608701;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
108162;Wilmot Ave at Wallbank (WB);WB_Wilmot_AT_Wallbank;48.65293;-123.619867;COW;Cowichan Valley Regional Transit System;Cowichan Valley B
106127;Kingsview Rd at Maple Bay (EB);EB_Kingsview Rd_AT_Maple Bay;48.79862;-123.644666;COW;Cowichan Valley Regional Transit System;North Cowichan
106238;Braithwaite at Rolmar Cres (EB);EB_Braithwaite_AT_Rolmar Cres;48.69472;-123.583596;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
106242;Farnsworth at Stuart Cres (SB);SB_Farnsworth_AT_Stuart Cres;48.694427;-123.577382;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
106244;Christina at Braemer (EB);EB_Christina_AT_Braemer;48.690747;-123.573418;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
106246;Cowerd at Garry Oak (EB);EB_Cowerd_AT_Garry Oak;48.690024;-123.569936;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
106248;Allan Rd at 3550 Blk (SB);SB_Allan Rd_AT_3550 Blk;48.68875;-123.56814;COW;Cowichan Valley Regional Transit System;Cowichan Valley C
108005;Shawnigan Lake Mill Bay at Bourban (WB);WB_Shawnigan Lake_Mill Bay_AT_Bourban;48.653491;-123.579383;COW;Cowichan Valley Regional Transit System;Cowichan Valley A
108000;1st Ave at Roberts (SB);SB_1st Ave_FS_Roberts;48.992303;-123.816046;COW;Cowichan Valley Regional Transit System;Ladysmith
136006;Alderlea at James (SB);SB_Alderlea_FS_James;48.781758;-123.704455;COW;Cowichan Valley Regional Transit System;North Cowichan
136007;Alderlea at Queens (SB);SB_Alderlea_NS_Queens;48.77952;-123.70448;COW;Cowichan Valley Regional Transit System;Duncan
136008;Cavell at Cairnsmore (NB);NB_Cavell_NS_Cairnsmore;48.785298;-123.712538;COW;Cowichan Valley Regional Transit System;Duncan
136009;Cairnsmore at McDonald (WB);WB_Cairnsmore_FS_McDonald;48.785525;-123.714399;COW;Cowichan Valley Regional Transit System;Duncan
136010;Cairnsmore at Nagle (WB);WB_Cairnsmore_FS_Nagle;48.785481;-123.716841;COW;Cowichan Valley Regional Transit System;Duncan
136011;Cowichan District Hospital (NB);NB_Cowichan District Hospital;48.785646;-123.723371;COW;Cowichan Valley Regional Transit System;North Cowichan
106265;Cowichan Lake Rd at Caen (WB);WB_Cowichan_Lake Rd_FS_Caen Rd;48.787706;-123.722546;COW;Cowichan Valley Regional Transit System;North Cowichan
136013;Cowichan Lake at Avondale (WB);WB_Cowichan Lake_NS_Avondale;48.789326;-123.726947;COW;Cowichan Valley Regional Transit System;North Cowichan
136015;Somenos at Limerick (NB);NB_Somenos_NS_Limerick;48.792943;-123.736224;COW;Cowichan Valley Regional Transit System;North Cowichan
136160;York at Adelaide (SB);SB_York_NS_Adelaide;48.859748;-123.645749;COW;Cowichan Valley Regional Transit System;North Cowichan
136161;Osborne Bay at Escarpment (SB);SB_Osborne Bay_FS_Escarpment;48.835716;-123.645047;COW;Cowichan Valley Regional Transit System;North Cowichan
106142;Herd at Flett (WB);WB_Herd_FS_Flett;48.824593;-123.644167;COW;Cowichan Valley Regional Transit System;North Cowichan
136163;Lakes at Calais (SB);SB_Lakes_FS_Calais;48.808143;-123.671739;COW;Cowichan Valley Regional Transit System;North Cowichan
136164;Lakes at Wildwood (SB);SB_Lakes_FS_Wildwood;48.805811;-123.673784;COW;Cowichan Valley Regional Transit System;North Cowichan
136165;Lakes at Roome (SB);SB_Lakes_FS_Roome;48.79495;-123.684998;COW;Cowichan Valley Regional Transit System;North Cowichan
136166;Lakes at Moose (SB);SB_Lakes_NS_Moose;48.789753;-123.684937;COW;Cowichan Valley Regional Transit System;North Cowichan
136167;Cliffs at Wilson (WB);WB_Cliffs_NS_Wilson;48.779868;-123.723724;COW;Cowichan Valley Regional Transit System;North Cowichan
136168;Wilson at Gibbins (SB);SB_Wilson_FS_Gibbins;48.784467;-123.723941;COW;Cowichan Valley Regional Transit System;North Cowichan
136169;Gibbins at Highland (WB);WB_Gibbins_NS_Highland;48.783136;-123.728624;COW;Cowichan Valley Regional Transit System;North Cowichan
136170;3500 Block Gibbins (WB);WB_3500_Block_Gibbins;48.778991;-123.746518;COW;Cowichan Valley Regional Transit System;North Cowichan
136173;Menzies at Barnjum (NB);NB_Menzies_FS_Barnjum;48.773702;-123.780605;COW;Cowichan Valley Regional Transit System;North Cowichan
136174;Menzies at Robson (NB);NB_Menzies_FS_Robson;48.777092;-123.77927;COW;Cowichan Valley Regional Transit System;North Cowichan
136175;4150 Block Cowichan Lake (WB);WB_4150_Block_Cowichan Lake;48.785714;-123.78243;COW;Cowichan Valley Regional Transit System;North Cowichan
136176;Cowichan Lake at Payne Rd W (WB);WB_Cowichan Lake_FS_Payne Rd W;48.784749;-123.789357;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
136177;Cowichan Lake at Creighton Rd (WB);WB_Cowichan Lake_AT_Creighton Rd;48.781389;-123.797374;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
136178;Cowichan Lake at Riverbottom (WB);WB_Cowichan Lake_NS_Riverbottom;48.776747;-123.806548;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
136179;Cowichan Lake at Jordans (WB);WB_Cowichan Lake_FS_Jordans;48.776891;-123.829685;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
136180;Cowichan Lake at Arla (WB);WB_Cowichan Lake_NS_Arla;48.77742;-123.835336;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
136016;Somenos at Auchinachie (NB);NB_Somenos_NS_Auchinachie;48.795339;-123.736369;COW;Cowichan Valley Regional Transit System;North Cowichan
136017;Somenos at Hawkes (NB);NB_Somenos_FS_Hawkes;48.799507;-123.736466;COW;Cowichan Valley Regional Transit System;North Cowichan
136018;Drinkwater at Somenos (EB);EB_Drinkwater_FS_Somenos;48.803037;-123.735635;COW;Cowichan Valley Regional Transit System;North Cowichan
136019;Drinkwater 3190 block (EB);EB_3190_block_Drinkwater;48.803054;-123.731114;COW;Cowichan Valley Regional Transit System;North Cowichan
109134;CowichanCommons (SB);SB_CowichanCommons;48.80133;-123.72058;COW;Cowichan Valley Regional Transit System;North Cowichan
108001;CowichanCommons (NB);NB_CowichanCommons;48.801765;-123.720438;COW;Cowichan Valley Regional Transit System;North Cowichan
136023;Drinkwater 3200 block (WB);WB_3200_block_Drinkwater;48.803142;-123.731709;COW;Cowichan Valley Regional Transit System;North Cowichan
136024;Somenos at Drinkwater (SB);SB_Somenos_FS_Drinkwater;48.802028;-123.736659;COW;Cowichan Valley Regional Transit System;North Cowichan
136025;Somenos at Hawkes (SB);SB_Somenos_FS_Hawkes;48.798585;-123.736583;COW;Cowichan Valley Regional Transit System;North Cowichan
106164;Somenos at Auchinachie (SB);SB_Somenos_NS_Auchinachie;48.796258;-123.736545;COW;Cowichan Valley Regional Transit System;North Cowichan
136027;Somenos at Cowichan Lake (SB);SB_Somenos_NS_Cowichan Lake;48.792795;-123.736344;COW;Cowichan Valley Regional Transit System;North Cowichan
136028;Cowichan Lake at Avondale (EB);EB_Cowichan Lake_NS_Avondale;48.789531;-123.727719;COW;Cowichan Valley Regional Transit System;North Cowichan
136029;Cairnsmore at Nagle (EB);EB_Cairnsmore_NS_Nagle;48.785388;-123.717004;COW;Cowichan Valley Regional Transit System;Duncan
136030;Cairnsmore at Cavell (EB);EB_Cairnsmore_NS_Cavell;48.785443;-123.712935;COW;Cowichan Valley Regional Transit System;Duncan
136031;Canada at 4th St (SB);SB_Canada_NS_4th St;48.783541;-123.708772;COW;Cowichan Valley Regional Transit System;Duncan
136032;Canada at Lois (SB);SB_Canada_NS_Lois;48.778997;-123.707415;COW;Cowichan Valley Regional Transit System;Duncan
136034;Canada at Station (SB);SB_Canada_FS_Station;48.777361;-123.706854;COW;Cowichan Valley Regional Transit System;Duncan
136035;Lane 6350 block (SB);SB_6350_block_Lane;48.801012;-123.725368;COW;Cowichan Valley Regional Transit System;North Cowichan
136036;Lane at Herons (SB);SB_Lane_NS_Herons;48.798084;-123.724613;COW;Cowichan Valley Regional Transit System;North Cowichan
136037;Lane at Highfield (SB);SB_Lane_NS_Highfield;48.79616;-123.725378;COW;Cowichan Valley Regional Transit System;North Cowichan
136038;Lane at Golab (SB);SB_Lane_NS_Golab;48.793329;-123.726568;COW;Cowichan Valley Regional Transit System;North Cowichan
