stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
110272;Temple at Soriel (SB);SB_Temple_FS_Soriel;49.331462;-124.333107;NAN;Regional District of Nanaimo Transit System;Parksville
110273;Doehle at Allwood (WB);WB_Doehle_NS_Allwood;49.330215;-124.332713;NAN;Regional District of Nanaimo Transit System;Parksville
110274;Doehle at Tranfield (WB);WB_Doehle_FS_Tranfield;49.330194;-124.335738;NAN;Regional District of Nanaimo Transit System;Parksville
110275;Pym St N 440 block (SB);SB_440_block_Pym St N;49.329202;-124.337949;NAN;Regional District of Nanaimo Transit System;Parksville
110276;Pym St N at Brice (SB);SB_Pym St N_NS_Brice;49.325838;-124.337896;NAN;Regional District of Nanaimo Transit System;Parksville
110017;Jingle Pot at Elmwood (EB);EB_Jingle Pot_FS_Elmwood;49.205825;-124.027006;NAN;Regional District of Nanaimo Transit System;Nanaimo
110018;Jingle Pot at Sloan (EB);EB_Jingle Pot_FS_Sloan;49.204455;-124.022544;NAN;Regional District of Nanaimo Transit System;Nanaimo
110019;Labieux at Black Franks (EB);EB_Labieux_FS_Black Franks;49.199903;-124.015882;NAN;Regional District of Nanaimo Transit System;Nanaimo
110020;Labieux at Troy Anne (EB);EB_Labieux_FS_Troy Anne;49.199146;-124.009378;NAN;Regional District of Nanaimo Transit System;Nanaimo
110021;Labieux at Autumnwood (EB);EB_Labieux_NS_Autumnwood;49.199122;-124.003893;NAN;Regional District of Nanaimo Transit System;Nanaimo
110022;Bowen 2320 block (EB);EB_2320_block_Bowen;49.195793;-123.995377;NAN;Regional District of Nanaimo Transit System;Nanaimo
110023;Bowen at Northfield (SB);SB_Bowen_FS_Northfield;49.191566;-123.991825;NAN;Regional District of Nanaimo Transit System;Nanaimo
110024;Bowen at Fern (SB);SB_Bowen_FS_Fern;49.18985;-123.98972;NAN;Regional District of Nanaimo Transit System;Nanaimo
110025;Meredith at Robbie (EB);EB_Meredith_FS_Robbie;49.18822;-123.986434;NAN;Regional District of Nanaimo Transit System;Nanaimo
110026;Meredith at Forest (EB);EB_Meredith_NS_Forest;49.188205;-123.980942;NAN;Regional District of Nanaimo Transit System;Nanaimo
110027;Meredith at Thunderbird (EB);EB_Meredith_FS_Thunderbird;49.188191;-123.973806;NAN;Regional District of Nanaimo Transit System;Nanaimo
110030;Boundary at Nightingale (SB);SB_Boundary_NS_Nightingale;49.185667;-123.972458;NAN;Regional District of Nanaimo Transit System;Nanaimo
110031;Dufferin at Boundary (EB);EB_Dufferin_FS_Boundary;49.183132;-123.971807;NAN;Regional District of Nanaimo Transit System;Nanaimo
110032;Dufferin at Seafield (EB);EB_Dufferin_FS_Seafield;49.183701;-123.969187;NAN;Regional District of Nanaimo Transit System;Nanaimo
110033;Dufferin at Grant (EB);EB_Dufferin_NS_Grant;49.184369;-123.96681;NAN;Regional District of Nanaimo Transit System;Nanaimo
110034;Waddington at Oakley (SB);SB_Waddington_FS_Oakley;49.183428;-123.962796;NAN;Regional District of Nanaimo Transit System;Nanaimo
